Customer Name ,Name,Item,Description,Amount,Status,Sales Rep,Support End Date [NEW],Date,Completion Date ,Internal ID,Support Start Date  [New]
Christel House,10173 Christel House : New Office Space,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",2800,Partially Fulfilled,ANDREA  NICHOLSON,4/30/2027,12/15/2023,6/24/2024,9409,6/24/2024
Christel House,10173 Christel House : New Office Space,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",4250,Partially Fulfilled,ANDREA  NICHOLSON,4/30/2027,12/15/2023,6/24/2024,9409,6/24/2024
Christel House,10173 Christel House : New Office Space,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",2900,Partially Fulfilled,ANDREA  NICHOLSON,4/30/2027,12/15/2023,6/24/2024,9409,6/24/2024
Huseman Group,10178 Huseman Group : Garage Room AV,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",2500,Billed,BRAD  COOPER,1/17/2027,10/30/2023,3/19/2024,8984,3/19/2024
Avnet,10182 Avnet : Training Room 1NE AB Conference Camera Additions,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",3072.72,Billed,Victoria Lugo,5/31/2027,12/21/2023,7/10/2024,9448,7/10/2024
KROGER COMPANY,10196 KROGER COMPANY : Columbus MTR Rooms,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,8400,Partially Fulfilled,PATRICK D FRIEND,,2/12/2024,4/19/2024,9850,4/19/2024
Smith Gambrell Russell,10197 Smith Gambrell Russell : Pexip Integration,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1000,Closed,ANDREA  NICHOLSON,2/28/2025,11/15/2023,9/18/2024,9120,9/18/2024
Marion County Youth and Family Services,10237 Marion County Youth and Family Services : AV Project - FA Wilhelm,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",13500,Pending Billing/Partially Fulfilled,ANDREA  NICHOLSON,4/30/2029,1/29/2024,,9716,
Marion County Youth and Family Services,10237 Marion County Youth and Family Services : AV Project - FA Wilhelm,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",95000,Pending Fulfillment,ANDREA  NICHOLSON,4/30/2029,4/12/2024,,9716,
Marion County Youth and Family Services,10237 Marion County Youth and Family Services : AV Project - FA Wilhelm,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",850,Pending Fulfillment,ANDREA  NICHOLSON,4/30/2029,1/14/2025,,9716,
US District Court,10258 US District Court : Grand Jury Room Audio Troubleshooting,Onsite Support,Onsite Troubleshooting,375,Closed,Brian Moloney,,11/3/2023,11/22/2023,9038,11/22/2023
Henny Penny,10318 Henny Penny : AV Support 2024,Standard Support Agreement,Standard Support Agreement Terms: * Priority Onsite Support (within 8 business hours; M-F: 8am to 5pm). * Tech Support by phone within 2 business hours (when applicable). * Bi-annual Preventative Maintenance Visits.  * Repairs of Faulty Equipment (excluding obsolete equipment). * Materials and/or repair parts  * Software Updates when applicable / necessary  * Provide loaner equipment when a piece goes out for repair (dependent on loaner equipment availability). * Unlimited End User Training  * Shipping coverage for equipment to/from manufacturer repair facilities.  * Provide proper recycling for covered equipment.,67385,Billed,BRITTANY MULLINS,12/31/2024,1/9/2024,,9540,
Franciscan Alliance,10348 Franciscan Alliance : Live event support October,Onsite Support,Onsite Troubleshooting,400,Pending Fulfillment,ANDREA  NICHOLSON,,11/20/2023,11/22/2023,8939,11/22/2023
Ohio Public Employees Retirement System (OPERS),10374 Ohio Public Employees Retirement System (OPERS) : OPERS Boardroom AV upgrade camera system option V2,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",15630,Partially Fulfilled,ANDREA  NICHOLSON,10/31/2027,11/27/2023,11/25/2024,9201,11/25/2024
Ohio Public Employees Retirement System (OPERS),10374 Ohio Public Employees Retirement System (OPERS) : OPERS Boardroom AV upgrade camera system option V2,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",3170,Closed,Cody Ramey,10/31/2027,3/1/2024,11/25/2024,9201,11/25/2024
Kentucky Downs,10388 Kentucky Downs : Williamsburg site assessment,Extended Support - Onboarding,Extended Support Onboarding Asset tagging System Documentation Functionality Test & Certification,2000,Billed,ROCKY PANGALLO,,12/11/2023,1/5/2024,9358,1/5/2024
AtriCure,10403 AtriCure : Minnetonka MN Boardroom,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",8000,Billed,BRAD  COOPER,7/31/2027,2/22/2024,6/24/2024,9945,6/24/2024
"Nationwide Children's Hospital, Inc.","10416 Nationwide Children's Hospital, Inc. : NCH - MA1106 - Sim Center",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",496,Partially Fulfilled,Brian Moloney,1/31/2025,12/12/2023,6/24/2024,9370,6/24/2024
Hocking County Municipal Court,10449 Hocking County Municipal Court : Hocking County- ALL,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",3915,Billed,Kory Young,7/31/2027,12/13/2023,8/19/2024,9388,8/19/2024
UCHealth,10468 UCHealth : Surgical Amphitheater,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",7500,Closed,BRAD  COOPER,9/23/2027,7/9/2024,12/3/2024,11228,12/3/2024
Franciscan Alliance,10520 Franciscan Alliance : November Live Event Support,Onsite Support,Onsite Troubleshooting,400,Closed,ANDREA  NICHOLSON,,11/13/2023,11/22/2023,9092,11/22/2023
Nikola Motor,10523 Nikola Motor : Lobby AV Systems - Rev 2,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",17321,Partially Fulfilled,Curt Feldtkeller,11/7/2027,2/26/2024,,9971,
"Nationwide Children's Hospital, Inc.","10538 Nationwide Children's Hospital, Inc. : NCH - BE - Box Sale",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",221,Billed,Brian Moloney,12/31/2024,11/15/2023,3/18/2024,9115,3/18/2024
OhioHealth,10566-5 OhioHealth : T1V Solution Osteopathic Foundation-(3yr license)V5,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",21387.5,Pending Fulfillment,Kory Young,,10/8/2024,,12091,
Encova Insurance,10596 Encova Insurance : Encova Columbus 430 Teams update,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",3190,Partially Fulfilled,Kory Young,3/31/2027,2/14/2024,10/17/2024,9894,10/17/2024
Divisions Maintenance Group,10597 Divisions Maintenance Group : Control of central spaces post network outage troubleshooting,Onsite Support,Onsite Troubleshooting,555,Billed,BRAD  COOPER,,11/20/2023,11/29/2023,9163,11/29/2023
Encova Insurance,10598 Encova Insurance : Encova Columbus Cove Divisible Room Teams update,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",9280,Partially Fulfilled,Kory Young,3/31/2027,2/14/2024,12/6/2024,9896,12/6/2024
Encova Insurance,10598-2 Encova Insurance : Encova Columbus Cove Divisible Room Teams update - Wireless Presentation Option,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",700,Billed,Kory Young,3/31/2027,2/14/2024,9/6/2024,9897,9/6/2024
"Nationwide Children's Hospital, Inc.","10640 Nationwide Children's Hospital, Inc. : WA1020 - New Speakers",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",800,Billed,Brian Moloney,8/31/2027,1/22/2024,8/27/2024,9663,8/27/2024
Lincoln Properties,10644 Lincoln Properties : The Union Amenity Conference Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",5093.7,Partially Fulfilled,Victoria Lugo,4/30/2027,3/27/2024,,10252,
Knowledge Services,10649 Knowledge Services : 3rd Floor Buildout,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",5800,Billed,ANDREA  NICHOLSON,10/31/2027,5/21/2024,12/6/2024,10847,12/6/2024
CBTS,"10689 CBTS : CBTS ODM 4, 5, 6 Floor Upgrades",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",50250,Pending Billing,Cody Ramey,,8/14/2024,,10859,
KROGER COMPANY,10698 KROGER COMPANY : 2024 MTR Room Tier 3 support,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,288487.5,Billed,PATRICK D FRIEND,2/28/2025,1/19/2024,,9651,
KROGER COMPANY,10698 KROGER COMPANY : 2024 MTR Room Tier 3 support,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,68449.5,Billed,PATRICK D FRIEND,2/28/2025,1/19/2024,,9651,
KROGER COMPANY,10698 KROGER COMPANY : 2024 MTR Room Tier 3 support,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,92610,Billed,PATRICK D FRIEND,2/28/2025,1/19/2024,,9651,
KROGER COMPANY,10698 KROGER COMPANY : 2024 MTR Room Tier 3 support,Kroger MTR Support-Tier 3,Microsoft Team Room support-Tier 3 for Kroger installations. Description of services is outlined in attachment.,32340,Billed,PATRICK D FRIEND,2/28/2025,1/19/2024,,9651,
"Nationwide Children's Hospital, Inc.","10738 Nationwide Children's Hospital, Inc. : NCH - T6A - Break/Fix",Onsite Support,Onsite Troubleshooting,1200,Pending Fulfillment,Brian Moloney,,12/5/2023,1/17/2024,9301,1/17/2024
"Nationwide Children's Hospital, Inc.","10753 Nationwide Children's Hospital, Inc. : NCH - laser projector for basement",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",160,Billed,Brian Moloney,3/31/2027,12/7/2023,2/12/2024,9332,2/12/2024
Endress & Hauser,10791 Endress & Hauser : Auditorium Refresh,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",20000,Partially Fulfilled,ANDREA  NICHOLSON,6/30/2027,1/25/2024,8/14/2024,9699,8/14/2024
OrthoIndy,10813 OrthoIndy : Paging system volume adjustments,Onsite Support,Onsite Troubleshooting,250,Pending Fulfillment,ERIC  BROWN,,12/11/2023,4/4/2024,9352,4/4/2024
"Multiple Services, LLC","10845 Multiple Services, LLC : MS WPMC Auditorium AV upgrade",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",2800,Pending Billing/Partially Fulfilled,Cody Ramey,,6/7/2024,,10994,
United Wheels,10852 United Wheels : Virtual Showroom - MTR,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",5000,Closed,BRAD  COOPER,10/31/2025,5/15/2024,9/9/2024,10770,9/9/2024
"Multiple Services, LLC","10879 Multiple Services, LLC : MS WPAFB Bane Hall AVL upgrade",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",14100,Closed,Cody Ramey,9/8/2025,4/4/2024,11/25/2024,10349,11/25/2024
REN,10881 REN : REN - 12th Floor AV,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",6400,Billed,Brian Moloney,8/31/2027,2/19/2024,10/11/2024,9923,10/11/2024
REN,10881-C1 REN : REN - 12th Floor AV - 1225 Scheduler,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",160,Billed,Brian Moloney,8/31/2027,5/21/2024,10/11/2024,10844,10/11/2024
Merchants Bank,10882 Merchants Bank : Onsite Installation-10882 Merchants Bank Holiday & Neil Conf.-Teams,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",3520,Billed,Brian Moloney,4/30/2027,1/2/2024,9/30/2024,9469,9/30/2024
"UPTOWN RENTAL PROPERTIES, LLC","10895 UPTOWN RENTAL PROPERTIES, LLC : Uptown 9 E University",Standard Support Agreement,Standard Support Agreement Terms: * Priority Onsite Support (within 8 business hours; M-F: 8am to 5pm). * Tech Support by phone within 2 business hours (when applicable). * Bi-annual Preventative Maintenance Visits.  * Repairs of Faulty Equipment (excluding obsolete equipment). * Materials and/or repair parts  * Software Updates when applicable / necessary  * Provide loaner equipment when a piece goes out for repair (dependent on loaner equipment availability). * Unlimited End User Training  * Shipping coverage for equipment to/from manufacturer repair facilities.  * Provide proper recycling for covered equipment.,1200,Billed,SCOTT LUCIUS,4/1/2027,1/4/2024,4/2/2024,9491,4/2/2024
EO Advisors,10900 EO Advisors : Carter Building - AV Additions,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1000,Billed,ANDREA  NICHOLSON,4/30/2027,1/4/2024,5/23/2024,9503,5/23/2024
EO Advisors,10900 EO Advisors : Carter Building - AV Additions,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",850,Billed,ANDREA  NICHOLSON,4/30/2027,1/4/2024,5/23/2024,9503,5/23/2024
Neighborhood Outreach Access to Health,10943 Neighborhood Outreach Access to Health : Desert Mission Service Call,Onsite Support,Onsite Troubleshooting,176.8,Pending Fulfillment,Jeremiah  Boswell,,4/3/2024,12/18/2023,9437,12/18/2023
Hillman Group,10945 v3 Hillman Group : PA System Jonestown- QSC Upgrade,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1450,Billed,ROCKY PANGALLO,4/30/2025,2/6/2024,6/21/2024,9804,6/21/2024
"Nationwide Children's Hospital, Inc.","10962 Nationwide Children's Hospital, Inc. : NCH - RB2 Huddle Spaces",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",500,Billed,Brian Moloney,9/30/2027,1/9/2024,11/18/2024,9549,11/18/2024
"Nationwide Children's Hospital, Inc.","10962 Nationwide Children's Hospital, Inc. : NCH - RB2 Huddle Spaces",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",500,Billed,Brian Moloney,9/30/2027,1/9/2024,11/18/2024,9549,11/18/2024
"Nationwide Children's Hospital, Inc.","10962 Nationwide Children's Hospital, Inc. : NCH - RB2 Huddle Spaces",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",550,Billed,Brian Moloney,9/30/2027,1/9/2024,11/18/2024,9549,11/18/2024
Columbus Zoo and Aquarium,10976 Columbus Zoo and Aquarium : Columbus Zoo System Audit and Onboarding,Onsite Support,Onsite Troubleshooting,5760,Closed,Cody Ramey,,12/21/2023,3/11/2024,9446,3/11/2024
Mid-Ohio Food Collective,11001 Mid-Ohio Food Collective : MOFC Community Room upgrade,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",6770,Billed,Cody Ramey,8/31/2027,2/13/2024,9/25/2024,9876,9/25/2024
"UPTOWN RENTAL PROPERTIES, LLC","11014 UPTOWN RENTAL PROPERTIES, LLC : Uptown Rental Service Bundle",Standard Support Agreement,Standard Support Agreement Terms: * Priority Onsite Support (within 8 business hours; M-F: 8am to 5pm). * Tech Support by phone within 2 business hours (when applicable). * Bi-annual Preventative Maintenance Visits.  * Repairs of Faulty Equipment (excluding obsolete equipment). * Materials and/or repair parts  * Software Updates when applicable / necessary  * Provide loaner equipment when a piece goes out for repair (dependent on loaner equipment availability). * Unlimited End User Training  * Shipping coverage for equipment to/from manufacturer repair facilities.  * Provide proper recycling for covered equipment.,8113,Billed,SCOTT LUCIUS,3/31/2027,4/1/2024,,10291,
TREW Automation,"11017-v4 TREW Automation : New Building AV technology, Boardroom and Training Room - v4",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",13775,Billed,Kory Young,4/30/2027,3/8/2024,,10091,
UCHealth,11030 UCHealth : West Chester Plaza - Vlan reconfig,Onsite Support,Onsite Troubleshooting,1800,Pending Fulfillment,BRAD  COOPER,,1/22/2024,2/6/2024,9673,2/6/2024
Community State Bank,11052-3 Community State Bank : New Branch,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1175,Pending Billing,Whitney Turso,,7/26/2024,,11398,
Rose Hulman Institute of Technology,11067 Rose Hulman Institute of Technology : SRC AV Project,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",7200,Pending Billing/Partially Fulfilled,ANDREA  NICHOLSON,6/30/2027,5/8/2024,,10689,
